dia	mes	agno	personaje	texto
28	2	2021	59	28 de febreiro de 1953. Francis Crick e James Watson publicaron o descubrimento da estrutura do ADN. Ambos recibiron o Premio Nobel en 1962. A súa colaboradora, Rosalind Franklin, faleceu en 1958 sen recibir recoñecemento ningún.
1	3	2021	60	1 de marzo de 1893. O Instituto Nacional de Meteoroloxía elaborou o primeiro mapa do tempo de España.
2	3	2021	61	2 de marzo de 1922. Naceu a programadora Frances Bilas Spence. Foi unha das seis programadoras orixinais da primeira computadora dixital de propósito xeral ENIAC.
3	3	2021	62	3 de marzo de 1886. Naceu a educadora e pedagoga Helen Parkhurst. Creou o Plan Dalton. Este plan baséase na ausencia de materias e no uso de guías de investigación no canto de libros de texto. A clase convértese nun laboratorio onde o alumnado completa a aprendizaxe á que se compromete mediante un «contrato» co profesorado.
4	3	2021	63	4 de marzo de 1877. Naceu o etnólogo Robert Fritz Graebner. Desenvolveu a teoría de Kulturkreis ou Círculo Cultural. Esta teoría postulaba a difusión de culturas primitivas derivadas dun só tipo arcaico.
5	3	2021	64	5 de marzo de 2013. O Proxecto Human Connectome publicou imaxes moi detalladas de cerebros humanos. Estas imaxes permitiron estudar a complexidade das estruturas cerebrais e identificar causas dos trastornos neuronais.
6	3	2021	65	6 de marzo de 1937. Naceu a enxeñeira e cosmonauta Valentina Tereshkova. Foi a primeira muller que viaxou ao espazo exterior, a bordo da nave Vostok 6.
7	3	2021	66	7 de marzo de 2009. Lanzouse o observatorio espacial Kepler. A súa misión era descubrir planetas similares á Terra ao redor doutras estrelas.
8	3	2021	67	8 de marzo de 1839. Naceu Josephine Cochrane. Foi a inventora da primeira máquina lavalouza que resultou exitosa.
9	3	2021	68	9 de marzo de 1961. O Sputnik 9 levou a cadela Chernushka ao espazo. A bordo ían tamén unha cobaia, un rato e mais un manequín de probas chamado Ivan Ivanovich. O manequín saíu disparado durante a reentrada e aterrou cun paracaídas. O resto chegaron ilesos dentro da cápsula.
10	3	2021	69	10 de marzo de 1876. Alexander Graham Bell fixo a primeira chamada telefónica exitosa na historia.
11	3	2021	70	11 de marzo de 1926. Naceu o médico e investigador Thomas Earl Starzl. En 1967, levou a cabo con éxito o primeiro transplante de fígado (tras varios intentos frustrados).
12	3	2021	71	12 de marzo de 2015. Un novo tratamento da doenza do alzhéimer conseguiu eliminar as placas de amiloide no 75% dos casos (en ratos).
13	3	2021	72	13 de marzo de 1988. Inaugurouse o túnel Seikan entre as cidades de Aomori e Hakodate (Xapón). É o túnel submarino máis longo do mundo.
14	3	2021	73	14 de marzo de 1963. Naceu o astronauta, político e enxeñeiro aeronáutico Pedro Duque. É coñecido principalmente por ter sido o primeiro astronauta de nacionalidade española.
15	3	2021	74	15 de marzo de 1985. Rexistrouse o primeiro dominio "punto com" en internet: symbolics.com.
16	3	2021	75	16 de marzo de 1799. Naceu a botánica Anna Atkins. É recoñecida como a primeira muller fotógrafa.
17	3	2021	76	17 de marzo de 1963. María Elisa Álvarez Obaya realizou as análises que destaparon o caso do metílico. Desde a súa modesta farmacia de Lanzarote, María Elisa demostrou que unha serie de estrañas mortes se debían ao consumo de licores adulterados con metanol.
18	3	2021	77	18 de marzo de 1987. Anunciouse o descubrimento da supercondutividade a alta temperatura. Foi nun congreso científico en Nova York.
19	3	2021	78	19 de marzo de 2019. Un estudo internacional con participación do CSIC determinou que os océanos absorben o 31% do CO2 producido pola actividade humana.
20	3	2021	79	20 de marzo de 2021. Día Mundial do Gorrión. Esta iniciativa procura chamar a atención sobre a situación dos gorrións. A súa poboación sofre un importante declive, nomeadamente nas cidades.
21	3	2021	80	21 de marzo de 1866. Naceu a astrónoma Antonia Maury. Traballou no Harvard College Observatory e publicou un importante catálogo de espectros estelares.
22	3	2021	81	22 de marzo de 1920. Naceu a xeoquímica Katsuko Saruhashi. Realizou as primeiras medicións dos niveis de dióxido de carbono (CO2) na auga do mar. Mostrou evidencias dos perigos da chuvia radioactiva no mar e a atmosfera.
23	3	2021	82	23 de marzo de 2005. José Luis Carrascosa e o seu equipo do Centro Nacional de Biotecnoloxía describiron por primeira vez a estrutura do virus da varíola.
24	3	2021	83	24 de marzo de 1882. Robert Koch anunciou a descuberta da bacteria responsable da tuberculose. Era a Mycobacterium tuberculosis (bacilo de Koch).
25	3	2021	84	25 de marzo de 1914. Naceu o agrónomo Norman Borlaug. Alcumado o pai da Revolución Verde, recibiu o Premio Nobel da Paz polos seus esforzos para introducir as sementes híbridas na produción agrícola en México, Paquistán e A India. Isto aumentou a produtividade agrícola e salváronse millóns de vidas humanas.
26	3	2021	85	26 de marzo de 1953. O investigador Jonas Salk anunciou o descubrimento da vacina contra a poliomielite. Grazas á vacinación, esta doenza infecciosa, coñecida como parálise infantil, foi erradicada de Europa, América, Oceanía e África.
27	3	2021	86	27 de marzo de 1827. Charles Darwin, con 18 anos, presentou o seu primeiro achado científico. Trataba sobre a bioloxía de pequenos animais mariños.
28	3	2021	87	28 de marzo de 2013. A Universidade de Stanford fixo público o desenvolvemento dun transistor biolóxico realizado a partir de moléculas de ADN e ARN.
29	3	2021	88	29 de marzo de 1942. Naceu a bióloga Ann A. Kiessling. Xunto a Mehran Goulian, descubriron a actividade da transcriptase inversa en células humanas. Anteriormente, pensábase que este enzima se atopaba só nos retrovirus.
30	3	2021	89	30 de marzo de 1900. Naceu a bibliotecaria, filóloga e lexicógrafa española María Moliner. Foi a autora do Diccionario de uso del español.
31	3	2021	90	31 de marzo de 1596. Naceu René Descartes, o famoso filósofo e matemático francés. Foi o autor do concepto "Penso, logo existo".
1	4	2021	91	1 de abril de 1940. Naceu a bióloga e ecoloxista Wangari Muta Maathai. Recibiu o Premio Nobel da Paz 2004 polas súas achegas ao desenvolvemento sostible e á democracia. Foi a primeira africana en obter este galardón.
2	4	2021	92	2 de abril de 1618. Naceu o físico Francesco Grimaldi. Descubriu a difracción da luz.
3	4	2021	93	3 de abril de 1934. Naceu a primatóloga Jane Goodall. É recoñecida mundialmente polos seus estudos sobre as interaccións sociais e familiares dos chimpancés.
4	4	2021	94	4 de abril de 1868. Naceu a matemática Philippa Garrett Fawcett. Gañou unha bolsa na Universidade de Cambridge grazas ao seu extraordinario éxito no Mathematical Tripos (1890). Investigou sobre dinámica de fluídos.
5	4	2021	95	5 de abril de 1952. Naceu o químico Venki Ramakrishnan. Recibiu o Premio Nobel polo estudo da estrutura e función do ribosoma.
6	4	2021	96	6 de abril de 1846. Naceu Antonio Machado y Álvarez, o Demófilo, pai dos poetas Antonio e Manuel Machado. Foi un dos primeiros folcloristas en estudar cientificamente o flamenco.
7	4	2021	97	7 de abril de 1995. Inauguración da Domus da Coruña, o primeiro museo interactivo de carácter científico que trata o ser humano dun xeito global e monográfico.
8	4	2021	98	8 de abril de 1911. Naceu o químico Melvin Calvin. Recibiu o Premio Nobel de Química polos seus traballos sobre a asimilación do CO2 polas plantas.
9	4	2021	99	9 de abril de 1860. O inventor Eduard León Scott de Martinville realizou a primeira gravación coñecida da voz humana. Era unha voz soprano que interpretaba a canción Au clair de la Lune.
10	4	2021	100	10 de abril de 2011. Un estudo do IGME, CIATF e as universidades Complutense e de Lisboa descubriu depósitos de tsunamis en Tenerife. Os tsunamis provocaron ondas de máis de 50 metros de altura e estiveron asociados á destrución do edificio volcánico de Las Cañadas, anterior ao actual Teide.
11	4	2021	101	11 de abril de 2013. Descóbrese que escoitar sons durante o sono, en intervalos de tempo controlados, pode mellorar a memoria.
12	4	2021	102	12 de abril de 1961. Yuri Gagarin converteuse no primeiro ser humano en viaxar ao espazo. Fíxoo a bordo da nave soviética Vostok 1.
13	4	2021	103	13 de abril de 2014. A expedición Subvent do IGME descubriu grandes bancos de mexillóns quimiosintéticos ao redor de mananciais de metano no golfo de Cádiz. Tamén descubriu novos volcáns submarinos en Lanzarote.
14	4	2021	104	14 de abril de 1977. Rosemary Hutton publicou un artigo sobre como a condutividade eléctrica das rochas pode usarse para investigar a historia xeolóxica.
15	4	2021	105	15 de abril de 1452. Naceu Leonardo da Vinci, pintor, escultor, inventor, enxeñeiro e arquitecto do Renacemento.
16	4	2021	106	16 de abril de 1921. Isaac Carasso solicitou a patente para a elaboración dun leite callado denominado comunmente iogur. Bautizou a súa empresa Danone, polo diminutivo do nome do seu fillo Daniel (Danón).
17	4	2021	107	17 de abril de 1887. Naceu Clodomiro Picado. Foi pioneiro na investigación sobre serpes e os seus velenos. Tamén foi un dos precursores do descubrimento da penicilina.
18	4	2021	108	18 de abril de 1917. Naceu a psicóloga Mamie Phipps Clark. Traballou na comprensión do desenvolvemento da conciencia social en nenos preescolares.
19	4	2021	109	19 de abril de 1946. Naceu a química María Vallet Regí. É experta no campo dos biomateriais con aplicacións en traumatoloxía, odontoloxía ou enxeñaría tisular.
20	4	2021	110	20 de abril de 2017. Bryan Keith Holland depositou a súa tese de doutoramento sobre os microARN do VIH. É máis coñecido polo seu alcume Dexter e mais por ser o cantante e guitarrista da banda punk rock The Offsprings.
21	4	2021	111	21 de abril de 1838. Naceu o conservacionista John Muir. Defendeu o establecemento dos parques nacionais Sequonia e Yosemite.
